epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.614,0.6588,1.31938,4.24449,1.15165,0.03057,0.77436,0.0985,0.08608,0.03224,0.78995,0.0998,0.08971,0.4674,0.72407,3.43265,1.03888,0.000109479,0.000109479,0.000109479
2,31.6994,0.62858,0.80763,3.51048,1.11083,0.41832,0.32072,0.29766,0.25346,0.41832,0.32072,0.29879,0.27047,0.57946,0.59122,2.50446,1.10368,0.000216114,0.000216114,0.000216114
3,47.0436,0.63947,0.67785,3.08001,1.09337,0.39693,0.38248,0.36264,0.30736,0.39693,0.38248,0.3628,0.33095,0.6035,0.63634,2.19343,1.12838,0.000318353,0.000318353,0.000318353
4,62.1612,0.61769,0.68046,2.80258,1.07092,0.53159,0.53059,0.55559,0.48246,0.53159,0.53059,0.55491,0.50878,0.55898,0.52555,1.74602,1.10798,0.00031322,0.00031322,0.00031322
5,77.2082,0.6043,0.68266,2.56051,1.06199,0.49628,0.58882,0.62277,0.55559,0.49703,0.59567,0.62589,0.58366,0.50123,0.51823,1.70465,1.05794,0.000306626,0.000306626,0.000306626
6,92.2265,0.56697,0.61598,2.35882,1.03175,0.59896,0.72752,0.74915,0.67974,0.60115,0.73027,0.75128,0.70361,0.46962,0.48695,1.43644,1.02229,0.000300033,0.000300033,0.000300033
7,107.088,0.56097,0.61843,2.19967,1.0234,0.69458,0.74997,0.80861,0.71791,0.69656,0.75271,0.81103,0.75555,0.51081,0.52594,1.31994,1.05973,0.00029344,0.00029344,0.00029344
8,122.083,0.54226,0.59577,2.05778,1.012,0.80621,0.77824,0.86047,0.77088,0.80621,0.77824,0.86034,0.80918,0.49716,0.47812,1.06208,1.07502,0.000286846,0.000286846,0.000286846
9,137.245,0.51131,0.56061,1.91227,0.9974,0.79629,0.77464,0.87832,0.7928,0.79629,0.77464,0.87783,0.8268,0.47937,0.44502,1.01995,1.04727,0.000280253,0.000280253,0.000280253
10,152.776,0.50459,0.5889,1.78383,1.00242,0.81205,0.84288,0.90609,0.82393,0.81205,0.84288,0.90577,0.84413,0.46985,0.48439,0.90877,1.01947,0.000273659,0.000273659,0.000273659
11,168.566,0.48671,0.57667,1.717,0.98589,0.80566,0.84731,0.90268,0.82562,0.80826,0.85015,0.90501,0.85492,0.44151,0.48313,0.93967,1.00374,0.000267066,0.000267066,0.000267066
12,184.408,0.49504,0.55392,1.6547,0.99095,0.84921,0.83287,0.92069,0.85533,0.85215,0.83331,0.9209,0.87663,0.43012,0.41002,0.82681,0.98493,0.000260473,0.000260473,0.000260473
13,200.082,0.49447,0.53826,1.57547,0.9802,0.85037,0.86139,0.93186,0.85709,0.85481,0.86688,0.93604,0.88343,0.45118,0.45646,0.83841,0.99126,0.000253879,0.000253879,0.000253879
14,215.773,0.46571,0.53944,1.50071,0.97255,0.88114,0.79131,0.92223,0.85346,0.88114,0.79131,0.92202,0.88669,0.412,0.41542,0.81595,0.97301,0.000247286,0.000247286,0.000247286
15,231.382,0.46606,0.52346,1.45124,0.96846,0.88016,0.83893,0.93585,0.86501,0.88228,0.84086,0.93781,0.90144,0.41714,0.41818,0.81309,0.9667,0.000240692,0.000240692,0.000240692
16,246.967,0.46777,0.5169,1.42407,0.97959,0.90428,0.8644,0.95049,0.88827,0.90428,0.8644,0.95034,0.91257,0.39695,0.43432,0.75335,0.95082,0.000234099,0.000234099,0.000234099
17,262.758,0.47141,0.51652,1.38396,0.97221,0.86556,0.89939,0.95369,0.88507,0.86556,0.89939,0.95354,0.92084,0.40967,0.38838,0.68189,0.97867,0.000227506,0.000227506,0.000227506
18,278.253,0.44836,0.49961,1.34318,0.96265,0.91922,0.89791,0.9611,0.89618,0.91922,0.89791,0.961,0.91814,0.39124,0.41399,0.62678,0.95085,0.000220912,0.000220912,0.000220912
19,293.836,0.44982,0.49202,1.2774,0.95821,0.92816,0.87062,0.95908,0.89205,0.92816,0.87062,0.95893,0.92674,0.39554,0.39038,0.64337,0.95439,0.000214319,0.000214319,0.000214319
20,309.284,0.43905,0.47228,1.26053,0.96167,0.92931,0.90512,0.96984,0.91509,0.92931,0.90512,0.96977,0.93629,0.37154,0.39895,0.57879,0.93507,0.000207725,0.000207725,0.000207725
21,325.211,0.43652,0.49187,1.20998,0.9507,0.94958,0.89256,0.97134,0.91471,0.94958,0.89256,0.9713,0.94009,0.37393,0.39822,0.58005,0.94061,0.000201132,0.000201132,0.000201132
22,341.855,0.4266,0.46511,1.19157,0.95323,0.94212,0.90868,0.97267,0.91385,0.94212,0.90868,0.9726,0.93683,0.37752,0.37918,0.56776,0.94648,0.000194539,0.000194539,0.000194539
23,357.462,0.43489,0.50159,1.19143,0.95582,0.93451,0.92448,0.97713,0.92167,0.93451,0.92448,0.97706,0.94809,0.3745,0.39533,0.54808,0.94487,0.000187945,0.000187945,0.000187945
24,373.068,0.42488,0.49561,1.13296,0.9525,0.92319,0.91947,0.97444,0.91867,0.92319,0.91947,0.97432,0.94834,0.36738,0.3709,0.58001,0.933,0.000181352,0.000181352,0.000181352
25,388.57,0.43498,0.48548,1.12753,0.95628,0.94151,0.9435,0.97989,0.92532,0.94151,0.9435,0.97982,0.95201,0.37155,0.39899,0.53089,0.93717,0.000174758,0.000174758,0.000174758
26,403.93,0.4056,0.47654,1.09435,0.94225,0.91029,0.94907,0.97753,0.92384,0.91029,0.94907,0.97748,0.94469,0.35577,0.41691,0.52258,0.91956,0.000168165,0.000168165,0.000168165
27,419.668,0.40861,0.46654,1.05504,0.9426,0.94881,0.94267,0.98189,0.93128,0.94881,0.94267,0.98182,0.95121,0.34792,0.38963,0.49019,0.91291,0.000161572,0.000161572,0.000161572
28,435.213,0.41228,0.47803,1.02279,0.95185,0.94002,0.96167,0.98394,0.93705,0.94002,0.96167,0.98394,0.95336,0.3379,0.40945,0.47614,0.90697,0.000154978,0.000154978,0.000154978
29,450.809,0.39449,0.47556,0.99985,0.93142,0.96866,0.91316,0.98359,0.93069,0.96866,0.91316,0.98345,0.95607,0.3424,0.38586,0.47336,0.91516,0.000148385,0.000148385,0.000148385
30,466.428,0.38947,0.44884,0.96999,0.92883,0.90955,0.9443,0.9808,0.9272,0.90955,0.9443,0.9807,0.95345,0.3528,0.42994,0.50297,0.92944,0.000141791,0.000141791,0.000141791
31,482,0.39038,0.44739,0.96242,0.93213,0.95689,0.93964,0.98539,0.93709,0.95689,0.93964,0.98528,0.95991,0.3445,0.38316,0.4568,0.92051,0.000135198,0.000135198,0.000135198
32,497.673,0.38187,0.4404,0.92351,0.92885,0.95489,0.94815,0.98302,0.93496,0.95489,0.94815,0.98281,0.95762,0.34057,0.3823,0.454,0.91785,0.000128605,0.000128605,0.000128605
33,512.983,0.38244,0.43871,0.92096,0.92453,0.9598,0.92591,0.98119,0.93642,0.9598,0.92591,0.98114,0.9597,0.3259,0.38335,0.45656,0.90164,0.000122011,0.000122011,0.000122011
34,528.35,0.38082,0.47125,0.93133,0.92892,0.9486,0.95756,0.98332,0.9429,0.9486,0.95756,0.98321,0.96219,0.31724,0.36053,0.44151,0.89787,0.000115418,0.000115418,0.000115418
35,543.831,0.37801,0.44222,0.91882,0.92804,0.96699,0.95348,0.98673,0.94766,0.96699,0.95348,0.98662,0.96135,0.32107,0.36063,0.42533,0.89955,0.000108824,0.000108824,0.000108824
36,559.344,0.36146,0.42336,0.88391,0.92206,0.96342,0.96366,0.98541,0.94133,0.96342,0.96366,0.98527,0.95907,0.32902,0.37399,0.41959,0.90456,0.000102231,0.000102231,0.000102231
37,574.579,0.37213,0.44461,0.89397,0.92588,0.96081,0.95173,0.98701,0.9405,0.96081,0.95173,0.98688,0.96329,0.32984,0.35945,0.42871,0.90749,9.56376e-05,9.56376e-05,9.56376e-05
38,589.746,0.36763,0.42029,0.86207,0.92746,0.98111,0.95073,0.98675,0.95043,0.98111,0.95073,0.98665,0.96669,0.30642,0.34572,0.40241,0.88572,8.90442e-05,8.90442e-05,8.90442e-05
39,605.768,0.35663,0.42715,0.83241,0.92367,0.95209,0.97193,0.98572,0.94813,0.95209,0.97193,0.98561,0.96368,0.31108,0.34169,0.41224,0.88854,8.24508e-05,8.24508e-05,8.24508e-05
40,621.578,0.35987,0.42222,0.84165,0.91982,0.96321,0.95112,0.98689,0.94657,0.96321,0.95112,0.98668,0.9648,0.31377,0.33825,0.4081,0.89111,7.58574e-05,7.58574e-05,7.58574e-05
41,653.05,0.28677,0.3005,0.67238,0.90431,0.94848,0.95604,0.98314,0.9395,0.94848,0.95604,0.98306,0.96132,0.31887,0.39443,0.40835,0.89742,6.9264e-05,6.9264e-05,6.9264e-05
42,669.245,0.27991,0.28912,0.62575,0.90282,0.96464,0.95474,0.98479,0.9451,0.96464,0.95474,0.98453,0.96626,0.31123,0.3503,0.38774,0.89187,6.26706e-05,6.26706e-05,6.26706e-05
43,685.456,0.27529,0.28013,0.60128,0.89353,0.96798,0.95343,0.98594,0.94678,0.96798,0.95343,0.98574,0.96345,0.30918,0.35297,0.3834,0.88792,5.60772e-05,5.60772e-05,5.60772e-05
44,701.108,0.26335,0.27687,0.57756,0.89444,0.96825,0.96311,0.98609,0.94499,0.96825,0.96311,0.98595,0.96332,0.3143,0.36364,0.37056,0.88784,4.94838e-05,4.94838e-05,4.94838e-05
45,716.514,0.25948,0.27666,0.56937,0.87691,0.97261,0.9639,0.9868,0.95139,0.97261,0.9639,0.98662,0.96444,0.30227,0.36942,0.36138,0.87858,4.28904e-05,4.28904e-05,4.28904e-05
46,732.015,0.24519,0.27674,0.55869,0.87828,0.97328,0.96419,0.9878,0.95177,0.97328,0.96419,0.98763,0.9638,0.29811,0.38453,0.35311,0.88119,3.6297e-05,3.6297e-05,3.6297e-05
